Timestamp,FRUITS_VEGGIES,DAILY_STRESS,PLACES_VISITED,CORE_CIRCLE,SUPPORTING_OTHERS,SOCIAL_NETWORK,ACHIEVEMENT,DONATION,BMI_RANGE,TODO_COMPLETED,FLOW,DAILY_STEPS,LIVE_VISION,SLEEP_HOURS,LOST_VACATION,DAILY_SHOUTING,SUFFICIENT_INCOME,PERSONAL_AWARDS,TIME_FOR_PASSION,WEEKLY_MEDITATION,AGE,GENDER
4/3/2024 9:07:09,0,2,10,5,4,8,9,3,2,3,2,7,1,7,7,3,1,7,6,0,Less than 20,Female
4/3/2024 9:08:12,3,10,5,5,8,10,7,4,1,7,10,7,4,3,3,4,1,3,6,4,Less than 20,Male
4/3/2024 9:13:32,1,3,7,3,2,10,2,1,1,7,2,6,0,0,0,10,1,2,0,2,Less than 20,Female
4/3/2024 9:14:48,4,10,8,5,9,10,10,6,2,7,4,6,2,10,10,0,2,5,4,3,Less than 20,Female
4/3/2024 9:15:02,5,2,10,3,10,7,4,6,1,7,3,6,2,0,0,5,2,10,2,4,Less than 20,Female
4/3/2024 9:18:10,3,3,10,9,10,6,5,2,1,1,4,10,0,10,10,4,2,5,2,3,21 to 35,Female
4/3/2024 9:21:07,1,1,10,6,10,10,5,2,1,7,4,10,2,0,0,0,2,3,5,2,Less than 20,Male
4/3/2024 9:22:41,1,6,10,10,10,10,7,2,1,7,6,2,10,10,10,5,2,10,1,3,21 to 35,Male
4/3/2024 9:26:42,2,5,10,2,3,3,5,2,1,9,5,9,0,0,0,10,1,10,3,7,Less than 20,Female
4/3/2024 9:26:49,1,10,4,0,5,1,0,2,1,1,0,6,0,0,0,0,2,10,0,10,21 to 35,Male
4/3/2024 9:27:00,3,7,5,4,3,6,1,3,1,4,2,7,0,10,10,2,1,1,0,3,Less than 20,Female
4/3/2024 9:33:50,1,1,7,2,10,10,2,6,1,8,4,8,5,10,10,2,2,7,5,7,21 to 35,Female
4/3/2024 9:34:58,1,2,10,4,4,6,2,4,1,9,3,5,3,3,3,3,2,10,3,3,Less than 20,Female
4/3/2024 9:35:19,1,3,10,5,3,7,2,3,1,5,0,8,0,0,0,10,1,10,6,3,Less than 20,Male
4/3/2024 9:35:19,1,10,1,0,5,0,3,1,1,5,6,9,0,10,10,0,1,1,0,0,Less than 20,Male
4/3/2024 9:36:35,1,9,10,8,1,8,1,6,1,7,0,5,0,9,9,10,1,3,0,1,Less than 20,Female
